Year,Region,Region Code,Livestock type,Value,Value Unit,Value Label,Null Reason
2014,Hawke's Bay,Hawke's Bay Region,Dairy cattle,1879672.086,number,Kilograms of nitrogen leached,
2015,Hawke's Bay,Hawke's Bay Region,Dairy cattle,1566163.475,number,Kilograms of nitrogen leached,
2016,Hawke's Bay,Hawke's Bay Region,Dairy cattle,1740833.106,number,Kilograms of nitrogen leached,
2017,Hawke's Bay,Hawke's Bay Region,Dairy cattle,1679921,number,Kilograms of nitrogen leached,
1990,Hawke's Bay,Hawke's Bay Region,Deer,161910.6108,number,Kilograms of nitrogen leached,
1991,Hawke's Bay,Hawke's Bay Region,Deer,212854.6426,number,Kilograms of nitrogen leached,
1992,Hawke's Bay,Hawke's Bay Region,Deer,232154.3029,number,Kilograms of nitrogen leached,
1993,Hawke's Bay,Hawke's Bay Region,Deer,207046.6349,number,Kilograms of nitrogen leached,
1994,Hawke's Bay,Hawke's Bay Region,Deer,255045.7006,number,Kilograms of nitrogen leached,
1995,Hawke's Bay,Hawke's Bay Region,Deer,223647.1023,number,Kilograms of nitrogen leached,
1996,Hawke's Bay,Hawke's Bay Region,Deer,220749.5662,number,Kilograms of nitrogen leached,
1997,Hawke's Bay,Hawke's Bay Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Hawke's Bay,Hawke's Bay Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Hawke's Bay,Hawke's Bay Region,Deer,236047.867,number,Kilograms of nitrogen leached,
2000,Hawke's Bay,Hawke's Bay Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Hawke's Bay,Hawke's Bay Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Hawke's Bay,Hawke's Bay Region,Deer,273191.9518,number,Kilograms of nitrogen leached,
2003,Hawke's Bay,Hawke's Bay Region,Deer,301147.5701,number,Kilograms of nitrogen leached,
2004,Hawke's Bay,Hawke's Bay Region,Deer,317732.9462,number,Kilograms of nitrogen leached,
2005,Hawke's Bay,Hawke's Bay Region,Deer,258766.7924,number,Kilograms of nitrogen leached,
2006,Hawke's Bay,Hawke's Bay Region,Deer,230166.5586,number,Kilograms of nitrogen leached,
2007,Hawke's Bay,Hawke's Bay Region,Deer,190599.2367,number,Kilograms of nitrogen leached,
2008,Hawke's Bay,Hawke's Bay Region,Deer,182014.4236,number,Kilograms of nitrogen leached,
2009,Hawke's Bay,Hawke's Bay Region,Deer,159293.3423,number,Kilograms of nitrogen leached,
2010,Hawke's Bay,Hawke's Bay Region,Deer,143525.0541,number,Kilograms of nitrogen leached,
2011,Hawke's Bay,Hawke's Bay Region,Deer,136925.8294,number,Kilograms of nitrogen leached,
2012,Hawke's Bay,Hawke's Bay Region,Deer,150863.7543,number,Kilograms of nitrogen leached,
2013,Hawke's Bay,Hawke's Bay Region,Deer,149512.0019,number,Kilograms of nitrogen leached,
2014,Hawke's Bay,Hawke's Bay Region,Deer,114310.3874,number,Kilograms of nitrogen leached,
2015,Hawke's Bay,Hawke's Bay Region,Deer,149617.6413,number,Kilograms of nitrogen leached,
2016,Hawke's Bay,Hawke's Bay Region,Deer,137680.3961,number,Kilograms of nitrogen leached,
2017,Hawke's Bay,Hawke's Bay Region,Deer,111488.3079,number,Kilograms of nitrogen leached,
1990,Hawke's Bay,Hawke's Bay Region,Sheep,6003009.975,number,Kilograms of nitrogen leached,
1991,Hawke's Bay,Hawke's Bay Region,Sheep,5979834.195,number,Kilograms of nitrogen leached,
1992,Hawke's Bay,Hawke's Bay Region,Sheep,5631928.324,number,Kilograms of nitrogen leached,
1993,Hawke's Bay,Hawke's Bay Region,Sheep,5475136.713,number,Kilograms of nitrogen leached,
1994,Hawke's Bay,Hawke's Bay Region,Sheep,5124017.525,number,Kilograms of nitrogen leached,
1995,Hawke's Bay,Hawke's Bay Region,Sheep,5228622.174,number,Kilograms of nitrogen leached,
1996,Hawke's Bay,Hawke's Bay Region,Sheep,5251883.273,number,Kilograms of nitrogen leached,
1997,Hawke's Bay,Hawke's Bay Region,Sheep,0,number,Kilograms of nitrogen leached,
1998,Hawke's Bay,Hawke's Bay Region,Sheep,0,number,Kilograms of nitrogen leached,
1999,Hawke's Bay,Hawke's Bay Region,Sheep,5409480.016,number,Kilograms of nitrogen leached,
2000,Hawke's Bay,Hawke's Bay Region,Sheep,0,number,Kilograms of nitrogen leached,
2001,Hawke's Bay,Hawke's Bay Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Hawke's Bay,Hawke's Bay Region,Sheep,4552820.961,number,Kilograms of nitrogen leached,
2003,Hawke's Bay,Hawke's Bay Region,Sheep,4713901.401,number,Kilograms of nitrogen leached,
2004,Hawke's Bay,Hawke's Bay Region,Sheep,5174256.549,number,Kilograms of nitrogen leached,
2005,Hawke's Bay,Hawke's Bay Region,Sheep,4891151.772,number,Kilograms of nitrogen leached,
2006,Hawke's Bay,Hawke's Bay Region,Sheep,5079083.959,number,Kilograms of nitrogen leached,
2007,Hawke's Bay,Hawke's Bay Region,Sheep,4354943.594,number,Kilograms of nitrogen leached,
2008,Hawke's Bay,Hawke's Bay Region,Sheep,4435246.48,number,Kilograms of nitrogen leached,
2009,Hawke's Bay,Hawke's Bay Region,Sheep,4140559.822,number,Kilograms of nitrogen leached,
2010,Hawke's Bay,Hawke's Bay Region,Sheep,4121051.598,number,Kilograms of nitrogen leached,
2011,Hawke's Bay,Hawke's Bay Region,Sheep,3925765.073,number,Kilograms of nitrogen leached,
2012,Hawke's Bay,Hawke's Bay Region,Sheep,3920472.833,number,Kilograms of nitrogen leached,
2013,Hawke's Bay,Hawke's Bay Region,Sheep,3600934.039,number,Kilograms of nitrogen leached,
2014,Hawke's Bay,Hawke's Bay Region,Sheep,3452275.461,number,Kilograms of nitrogen leached,
2015,Hawke's Bay,Hawke's Bay Region,Sheep,3639738.989,number,Kilograms of nitrogen leached,
2016,Hawke's Bay,Hawke's Bay Region,Sheep,3451881.307,number,Kilograms of nitrogen leached,
2017,Hawke's Bay,Hawke's Bay Region,Sheep,3357804.658,number,Kilograms of nitrogen leached,
1990,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,8066054.612,number,Kilograms of nitrogen leached,
1991,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,8133763.308,number,Kilograms of nitrogen leached,
1992,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,8265923.237,number,Kilograms of nitrogen leached,
1993,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,8304447.723,number,Kilograms of nitrogen leached,
1994,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,9139521.638,number,Kilograms of nitrogen leached,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,9497277.502,number,Kilograms of nitrogen leached,
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,8675310.997,number,Kilograms of nitrogen leached,
1997,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,8330884.141,number,Kilograms of nitrogen leached,
2000,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,8047329.74,number,Kilograms of nitrogen leached,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,7747709.62,number,Kilograms of nitrogen leached,
2004,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,7108881.232,number,Kilograms of nitrogen leached,
2005,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,7717096.115,number,Kilograms of nitrogen leached,
2006,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,7776594.675,number,Kilograms of nitrogen leached,
2007,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,7544904.847,number,Kilograms of nitrogen leached,
2008,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6460956.324,number,Kilograms of nitrogen leached,
2009,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6755368.935,number,Kilograms of nitrogen leached,
2010,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6941864.233,number,Kilograms of nitrogen leached,
2011,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6577327.529,number,Kilograms of nitrogen leached,
2012,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6421467.895,number,Kilograms of nitrogen leached,
2013,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6317085.04,number,Kilograms of nitrogen leached,
2014,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6437234.459,number,Kilograms of nitrogen leached,
2015,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6285939.705,number,Kilograms of nitrogen leached,
2016,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6022162.758,number,Kilograms of nitrogen leached,
2017,Manawatū-Whanganui,Manawatu-Wanganui Region,Beef cattle,6291734.443,number,Kilograms of nitrogen leached,
1990,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,4692942.053,number,Kilograms of nitrogen leached,
1991,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,4704563.845,number,Kilograms of nitrogen leached,
1992,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,4805463.8,number,Kilograms of nitrogen leached,
1993,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,5048510.038,number,Kilograms of nitrogen leached,
1994,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,5664189.17,number,Kilograms of nitrogen leached,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,5959790.916,number,Kilograms of nitrogen leached,
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,5966447.702,number,Kilograms of nitrogen leached,
1997,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,6055928.143,number,Kilograms of nitrogen leached,
2000,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7664534.918,number,Kilograms of nitrogen leached,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7520807.189,number,Kilograms of nitrogen leached,
2004,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7014707.578,number,Kilograms of nitrogen leached,
2005,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7553521.062,number,Kilograms of nitrogen leached,
2006,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7173973.937,number,Kilograms of nitrogen leached,
2007,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7235172.233,number,Kilograms of nitrogen leached,
2008,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7824187.444,number,Kilograms of nitrogen leached,
2009,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,7813080.542,number,Kilograms of nitrogen leached,
2010,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,8799351.399,number,Kilograms of nitrogen leached,
2011,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,8697807.832,number,Kilograms of nitrogen leached,
2012,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,8743301.998,number,Kilograms of nitrogen leached,
2013,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,8238783.833,number,Kilograms of nitrogen leached,
2014,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,8849645.07,number,Kilograms of nitrogen leached,
2015,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,8301140.631,number,Kilograms of nitrogen leached,
2016,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,9641214.137,number,Kilograms of nitrogen leached,
2017,Manawatū-Whanganui,Manawatu-Wanganui Region,Dairy cattle,8515114,number,Kilograms of nitrogen leached,
1990,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,224085.6052,number,Kilograms of nitrogen leached,
1991,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,272687.8472,number,Kilograms of nitrogen leached,
1992,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,273270.3921,number,Kilograms of nitrogen leached,
1993,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,246712.5016,number,Kilograms of nitrogen leached,
1994,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,304713.6083,number,Kilograms of nitrogen leached,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,293323.1979,number,Kilograms of nitrogen leached,
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,310001.5057,number,Kilograms of nitrogen leached,
1997,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,355087.1658,number,Kilograms of nitrogen leached,
2000,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,348409.212,number,Kilograms of nitrogen leached,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,322606.7354,number,Kilograms of nitrogen leached,
2004,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,329734.6222,number,Kilograms of nitrogen leached,
2005,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,349616.9271,number,Kilograms of nitrogen leached,
2006,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,277637.1108,number,Kilograms of nitrogen leached,
2007,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,246061.2827,number,Kilograms of nitrogen leached,
2008,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,199905.2556,number,Kilograms of nitrogen leached,
2009,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,180681.2739,number,Kilograms of nitrogen leached,
2010,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,178639.9987,number,Kilograms of nitrogen leached,
2011,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,208316.6357,number,Kilograms of nitrogen leached,
2012,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,175315.2302,number,Kilograms of nitrogen leached,
2013,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,179594.3304,number,Kilograms of nitrogen leached,
2014,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,175327.0706,number,Kilograms of nitrogen leached,
2015,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,147525.944,number,Kilograms of nitrogen leached,
2016,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,111673.3839,number,Kilograms of nitrogen leached,
2017,Manawatū-Whanganui,Manawatu-Wanganui Region,Deer,130160.8962,number,Kilograms of nitrogen leached,
1990,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,11646279.73,number,Kilograms of nitrogen leached,
1991,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,11177283.47,number,Kilograms of nitrogen leached,
1992,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,10717670.7,number,Kilograms of nitrogen leached,
1993,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,10119152,number,Kilograms of nitrogen leached,
1994,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,9993447.012,number,Kilograms of nitrogen leached,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,9955868.837,number,Kilograms of nitrogen leached,
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,9669130.412,number,Kilograms of nitrogen leached,
1997,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,0,number,Kilograms of nitrogen leached,
1998,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,0,number,Kilograms of nitrogen leached,
1999,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,9319923.378,number,Kilograms of nitrogen leached,
2000,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,0,number,Kilograms of nitrogen leached,
2001,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,8795045.579,number,Kilograms of nitrogen leached,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,8731862.792,number,Kilograms of nitrogen leached,
2004,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,8392922.258,number,Kilograms of nitrogen leached,
2005,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,9029257.635,number,Kilograms of nitrogen leached,
2006,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,9205634.541,number,Kilograms of nitrogen leached,
2007,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,9040454.042,number,Kilograms of nitrogen leached,
2008,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7928042.246,number,Kilograms of nitrogen leached,
2009,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7727518.566,number,Kilograms of nitrogen leached,
2010,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7766231.656,number,Kilograms of nitrogen leached,
2011,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7679034.747,number,Kilograms of nitrogen leached,
2012,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7520650.343,number,Kilograms of nitrogen leached,
2013,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7329143.013,number,Kilograms of nitrogen leached,
2014,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7140245.855,number,Kilograms of nitrogen leached,
2015,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,7394974.83,number,Kilograms of nitrogen leached,
2016,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,6753451.267,number,Kilograms of nitrogen leached,
2017,Manawatū-Whanganui,Manawatu-Wanganui Region,Sheep,6782262.318,number,Kilograms of nitrogen leached,
1990,Marlborough,Marlborough Region,Beef cattle,778458.8032,number,Kilograms of nitrogen leached,
1991,Marlborough,Marlborough Region,Beef cattle,778458.8032,number,Kilograms of nitrogen leached,
1992,Marlborough,Marlborough Region,Beef cattle,778458.8032,number,Kilograms of nitrogen leached,
1993,Marlborough,Marlborough Region,Beef cattle,778458.8032,number,Kilograms of nitrogen leached,
1994,Marlborough,Marlborough Region,Beef cattle,911779.7771,number,Kilograms of nitrogen leached,
1995,Marlborough,Marlborough Region,Beef cattle,984006.0197,number,Kilograms of nitrogen leached,
1996,Marlborough,Marlborough Region,Beef cattle,968417.0053,number,Kilograms of nitrogen leached,
1997,Marlborough,Marlborough Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Marlborough,Marlborough Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Marlborough,Marlborough Region,Beef cattle,1041120.838,number,Kilograms of nitrogen leached,
2000,Marlborough,Marlborough Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Marlborough,Marlborough Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Marlborough,Marlborough Region,Beef cattle,887569.6581,number,Kilograms of nitrogen leached,
2003,Marlborough,Marlborough Region,Beef cattle,856661.0388,number,Kilograms of nitrogen leached,
2004,Marlborough,Marlborough Region,Beef cattle,821245.933,number,Kilograms of nitrogen leached,
2005,Marlborough,Marlborough Region,Beef cattle,779083.3434,number,Kilograms of nitrogen leached,
2006,Marlborough,Marlborough Region,Beef cattle,830638.5285,number,Kilograms of nitrogen leached,
2007,Marlborough,Marlborough Region,Beef cattle,805387.5091,number,Kilograms of nitrogen leached,
2008,Marlborough,Marlborough Region,Beef cattle,696288.9001,number,Kilograms of nitrogen leached,
2009,Marlborough,Marlborough Region,Beef cattle,720743.9368,number,Kilograms of nitrogen leached,
2010,Marlborough,Marlborough Region,Beef cattle,745186.7276,number,Kilograms of nitrogen leached,
2011,Marlborough,Marlborough Region,Beef cattle,625801.5734,number,Kilograms of nitrogen leached,
2012,Marlborough,Marlborough Region,Beef cattle,736308.4594,number,Kilograms of nitrogen leached,
2013,Marlborough,Marlborough Region,Beef cattle,736859.5244,number,Kilograms of nitrogen leached,
2014,Marlborough,Marlborough Region,Beef cattle,734349.1175,number,Kilograms of nitrogen leached,
2015,Marlborough,Marlborough Region,Beef cattle,664535.3146,number,Kilograms of nitrogen leached,
2016,Marlborough,Marlborough Region,Beef cattle,662049.3995,number,Kilograms of nitrogen leached,
2017,Marlborough,Marlborough Region,Beef cattle,642272.2917,number,Kilograms of nitrogen leached,
1990,Marlborough,Marlborough Region,Dairy cattle,336731.9979,number,Kilograms of nitrogen leached,
1991,Marlborough,Marlborough Region,Dairy cattle,336731.9979,number,Kilograms of nitrogen leached,
1992,Marlborough,Marlborough Region,Dairy cattle,336731.9979,number,Kilograms of nitrogen leached,
1993,Marlborough,Marlborough Region,Dairy cattle,336731.9979,number,Kilograms of nitrogen leached,
1994,Marlborough,Marlborough Region,Dairy cattle,420808.1602,number,Kilograms of nitrogen leached,
1995,Marlborough,Marlborough Region,Dairy cattle,446579.1298,number,Kilograms of nitrogen leached,
1996,Marlborough,Marlborough Region,Dairy cattle,463301.4604,number,Kilograms of nitrogen leached,
1997,Marlborough,Marlborough Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Marlborough,Marlborough Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Marlborough,Marlborough Region,Dairy cattle,613486.5699,number,Kilograms of nitrogen leached,
2000,Marlborough,Marlborough Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Marlborough,Marlborough Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Marlborough,Marlborough Region,Dairy cattle,604345.0291,number,Kilograms of nitrogen leached,
2003,Marlborough,Marlborough Region,Dairy cattle,524579.512,number,Kilograms of nitrogen leached,
2004,Marlborough,Marlborough Region,Dairy cattle,498529.8369,number,Kilograms of nitrogen leached,
2005,Marlborough,Marlborough Region,Dairy cattle,568633.563,number,Kilograms of nitrogen leached,
2006,Marlborough,Marlborough Region,Dairy cattle,479057.6119,number,Kilograms of nitrogen leached,
2007,Marlborough,Marlborough Region,Dairy cattle,444052.1998,number,Kilograms of nitrogen leached,
2008,Marlborough,Marlborough Region,Dairy cattle,623259.8431,number,Kilograms of nitrogen leached,
2009,Marlborough,Marlborough Region,Dairy cattle,552988.8937,number,Kilograms of nitrogen leached,
2010,Marlborough,Marlborough Region,Dairy cattle,482717.9443,number,Kilograms of nitrogen leached,
2011,Marlborough,Marlborough Region,Dairy cattle,557633.9855,number,Kilograms of nitrogen leached,
2012,Marlborough,Marlborough Region,Dairy cattle,617202.6433,number,Kilograms of nitrogen leached,
2013,Marlborough,Marlborough Region,Dairy cattle,516738.597,number,Kilograms of nitrogen leached,
2014,Marlborough,Marlborough Region,Dairy cattle,760773.142,number,Kilograms of nitrogen leached,
2015,Marlborough,Marlborough Region,Dairy cattle,502413.1337,number,Kilograms of nitrogen leached,
2016,Marlborough,Marlborough Region,Dairy cattle,467259.0786,number,Kilograms of nitrogen leached,
2017,Marlborough,Marlborough Region,Dairy cattle,470362,number,Kilograms of nitrogen leached,
1990,Marlborough,Marlborough Region,Deer,38846.63969,number,Kilograms of nitrogen leached,
1991,Marlborough,Marlborough Region,Deer,38846.63969,number,Kilograms of nitrogen leached,
1992,Marlborough,Marlborough Region,Deer,38846.63969,number,Kilograms of nitrogen leached,
1993,Marlborough,Marlborough Region,Deer,38846.63969,number,Kilograms of nitrogen leached,
1994,Marlborough,Marlborough Region,Deer,41408.75687,number,Kilograms of nitrogen leached,
1995,Marlborough,Marlborough Region,Deer,36527.27263,number,Kilograms of nitrogen leached,
1996,Marlborough,Marlborough Region,Deer,37140.76839,number,Kilograms of nitrogen leached,
1997,Marlborough,Marlborough Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Marlborough,Marlborough Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Marlborough,Marlborough Region,Deer,46585.95488,number,Kilograms of nitrogen leached,
2000,Marlborough,Marlborough Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Marlborough,Marlborough Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Marlborough,Marlborough Region,Deer,50408.16587,number,Kilograms of nitrogen leached,
2003,Marlborough,Marlborough Region,Deer,47954.18283,number,Kilograms of nitrogen leached,
2004,Marlborough,Marlborough Region,Deer,45500.1998,number,Kilograms of nitrogen leached,
2005,Marlborough,Marlborough Region,Deer,40259.00402,number,Kilograms of nitrogen leached,
2006,Marlborough,Marlborough Region,Deer,35017.80825,number,Kilograms of nitrogen leached,
2007,Marlborough,Marlborough Region,Deer,29302.14633,number,Kilograms of nitrogen leached,
2008,Marlborough,Marlborough Region,Deer,23588.69122,number,Kilograms of nitrogen leached,
2009,Marlborough,Marlborough Region,Deer,17873.0293,number,Kilograms of nitrogen leached,
2010,Marlborough,Marlborough Region,Deer,18894.78663,number,Kilograms of nitrogen leached,
2011,Marlborough,Marlborough Region,Deer,18535.07509,number,Kilograms of nitrogen leached,
2012,Marlborough,Marlborough Region,Deer,18173.15673,number,Kilograms of nitrogen leached,
2013,Marlborough,Marlborough Region,Deer,17813.44518,number,Kilograms of nitrogen leached,
2014,Marlborough,Marlborough Region,Deer,15688.27822,number,Kilograms of nitrogen leached,
2015,Marlborough,Marlborough Region,Deer,15721.38051,number,Kilograms of nitrogen leached,
2016,Marlborough,Marlborough Region,Deer,14567.21403,number,Kilograms of nitrogen leached,
2017,Marlborough,Marlborough Region,Deer,13410.84073,number,Kilograms of nitrogen leached,
1990,Marlborough,Marlborough Region,Sheep,1392597.156,number,Kilograms of nitrogen leached,
1991,Marlborough,Marlborough Region,Sheep,1392597.156,number,Kilograms of nitrogen leached,
1992,Marlborough,Marlborough Region,Sheep,1392597.156,number,Kilograms of nitrogen leached,
1993,Marlborough,Marlborough Region,Sheep,1392597.156,number,Kilograms of nitrogen leached,
1994,Marlborough,Marlborough Region,Sheep,1334720.136,number,Kilograms of nitrogen leached,
1995,Marlborough,Marlborough Region,Sheep,1299621.732,number,Kilograms of nitrogen leached,
1996,Marlborough,Marlborough Region,Sheep,1253305.865,number,Kilograms of nitrogen leached,
1997,Marlborough,Marlborough Region,Sheep,0,number,Kilograms of nitrogen leached,
1998,Marlborough,Marlborough Region,Sheep,0,number,Kilograms of nitrogen leached,
1999,Marlborough,Marlborough Region,Sheep,1318847.476,number,Kilograms of nitrogen leached,
2000,Marlborough,Marlborough Region,Sheep,0,number,Kilograms of nitrogen leached,
2001,Marlborough,Marlborough Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Marlborough,Marlborough Region,Sheep,1096898.479,number,Kilograms of nitrogen leached,
2003,Marlborough,Marlborough Region,Sheep,1035317.699,number,Kilograms of nitrogen leached,
2004,Marlborough,Marlborough Region,Sheep,943451.5871,number,Kilograms of nitrogen leached,
