Year,Region,Region Code,Livestock type,Value,Value Unit,Value Label,Null Reason
1995,Auckland,Auckland Region,Deer,63226.81104,number,Kilograms of nitrogen leached,
1996,Auckland,Auckland Region,Deer,63226.81104,number,Kilograms of nitrogen leached,
1997,Auckland,Auckland Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Auckland,Auckland Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Auckland,Auckland Region,Deer,67277.7837,number,Kilograms of nitrogen leached,
2000,Auckland,Auckland Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Auckland,Auckland Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Auckland,Auckland Region,Deer,46445.19253,number,Kilograms of nitrogen leached,
2003,Auckland,Auckland Region,Deer,53281.63876,number,Kilograms of nitrogen leached,
2004,Auckland,Auckland Region,Deer,53836.4409,number,Kilograms of nitrogen leached,
2005,Auckland,Auckland Region,Deer,44423.14506,number,Kilograms of nitrogen leached,
2006,Auckland,Auckland Region,Deer,35009.84921,number,Kilograms of nitrogen leached,
2007,Auckland,Auckland Region,Deer,28207.79155,number,Kilograms of nitrogen leached,
2008,Auckland,Auckland Region,Deer,28061.06701,number,Kilograms of nitrogen leached,
2009,Auckland,Auckland Region,Deer,23709.76757,number,Kilograms of nitrogen leached,
2010,Auckland,Auckland Region,Deer,36651.32993,number,Kilograms of nitrogen leached,
2011,Auckland,Auckland Region,Deer,24285.20285,number,Kilograms of nitrogen leached,
2012,Auckland,Auckland Region,Deer,28994.14334,number,Kilograms of nitrogen leached,
2013,Auckland,Auckland Region,Deer,24917.9524,number,Kilograms of nitrogen leached,
2014,Auckland,Auckland Region,Deer,12826.93382,number,Kilograms of nitrogen leached,
2015,Auckland,Auckland Region,Deer,20186.0862,number,Kilograms of nitrogen leached,
2016,Auckland,Auckland Region,Deer,23209.98713,number,Kilograms of nitrogen leached,
2017,Auckland,Auckland Region,Deer,25869.36929,number,Kilograms of nitrogen leached,
1990,Auckland,Auckland Region,Sheep,1371246.481,number,Kilograms of nitrogen leached,
1991,Auckland,Auckland Region,Sheep,1231897.839,number,Kilograms of nitrogen leached,
1992,Auckland,Auckland Region,Sheep,1039019.891,number,Kilograms of nitrogen leached,
1993,Auckland,Auckland Region,Sheep,674062.9299,number,Kilograms of nitrogen leached,
