Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,15-19,83634,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,20-24,82191,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,25-29,85188,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,30-34,95970,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,35-39,98169,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,40-44,89070,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,45-49,77103,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,50-54,70875,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,55-59,53208,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,60-64,42816,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,65-*,115848,number,Number of people,
Auckland,Auckland Region,2001,Age in five-year groups for the census usually resident population count,Total people,1160271,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,0-4,94077,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,5-9,95325,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,10-14,99711,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,15-19,99444,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,20-24,99057,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,25-29,89883,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,30-34,98769,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,35-39,105231,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,40-44,105471,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,45-49,92994,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,50-54,76905,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,55-59,68292,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,60-64,51255,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,65-*,128541,number,Number of people,
Auckland,Auckland Region,2006,Age in five-year groups for the census usually resident population count,Total people,1304961,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,0-4,102357,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,5-9,97593,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,10-14,96405,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,15-19,102918,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,20-24,108222,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,25-29,99939,number,Number of people,
